ID,Type Counts,Total Steps,Average Steps per Type
AAAI-DISIM-UnivAQ/DALI,"{""Source"": 2}",5,"{""Source"": 2.5}"
BingqingCheng/cace,"{""Source"": 1}",1,"{""Source"": 1.0}"
less-and-less-bugs/Trust_TELLER,"{""Source"": 1}",2,"{""Source"": 2.0}"
utiasASRL/steam_icp,"{""Container"": 1}",3,"{""Container"": 3.0}"
PFischbeck/parameter-fitting-experiments,"{""Source"": 1}",7,"{""Source"": 7.0}"
gabbypinto/GET-Tok-Peru,"{""Source"": 1}",1,"{""Source"": 1.0}"
jonarriza96/gsft,"{""Source"": 1}",3,"{""Source"": 3.0}"
EricssonResearch/Line-Based-Room-Segmentation-and-EDF,"{""Source"": 1}",1,"{""Source"": 1.0}"
viralInformatics/VIGA,"{""Source"": 1}",10,"{""Source"": 10.0}"
scimemia/NRN-EZ,"{""Binary"": 3}",3,"{""Binary"": 1.0}"
uclaml/SPIN,"{""Source"": 1}",4,"{""Source"": 4.0}"
ncbi/GeneGPT,"{""Source"": 1}",2,"{""Source"": 2.0}"
arplaboratory/learning-to-fly,"{""Container"": 1, ""Source"": 2}",18,"{""Container"": 18.0, ""Source"": 9.0}"
LargeWorldModel/LWM,"{""Source"": 1}",2,"{""Source"": 2.0}"
microsoft/UFO,"{""Source"": 1}",1,"{""Source"": 1.0}"
YOLO-World,"{""Source"": 1}",2,"{""Source"": 2.0}"
tensorflow,"{""package manager"": 2, ""Binary"": 1}",4,"{""package manager"": 2.0, ""Binary"": 4.0}"
transformers,"{""package manager"": 2}",6,"{""package manager"": 3.0}"
divelab/DIG,"{""package manager"": 1, ""Source"": 1}",4,"{""package manager"": 4.0, ""Source"": 4.0}"
langchain-ai/langchain,"{""Source"": 2}",2,"{""Source"": 1.0}"
ungetym/blender-camera-generator,"{""Source"": 1}",4,"{""Source"": 4.0}"
facebookresearch/DiT,"{""Source"": 1}",2,"{""Source"": 2.0}"
ml-stat-Sustech/TorchCP,"{""package manager"": 2}",2,"{""package manager"": 1.0}"
NUS-HPC-AI-Lab/Neural-Network-Diffusion,"{""Source"": 1}",3,"{""Source"": 3.0}"
sanjay-810/AYDIV2,"{""Container"": 1}",1,"{""Container"": 1.0}"
FasterDecoding/BitDelta,"{""Source"": 1}",2,"{""Source"": 2.0}"
Emanual20/ZHEM,"{""Source"": 1}",5,"{""Source"": 5.0}"
FloatAI/humaneval-xl,"{""Source"": 1}",1,"{""Source"": 1.0}"
M2219/DCVSMNet,"{""Source"": 1}",2,"{""Source"": 2.0}"
sail-sg/GDPO,"{""Source"": 1}",2,"{""Source"": 2.0}"
josemanuel22/ISL,"{""package manager"": 1}",2,"{""package manager"": 2.0}"
Hendrik-code/spineps,"{""Source"": 1}",4,"{""Source"": 4.0}"
nand1155/CausNet,"{""Source"": 1}",1,"{""Source"": 1.0}"
